"session","subject","treatment","team","subjectid","teamid","round","investment"
1,1,"teamtreat",1,"1_teamtreat_1","1_1","r3",33
1,1,"teamtreat",1,"1_teamtreat_1","1_1","r4",33
1,1,"teamtreat",1,"1_teamtreat_1","1_1","r5",80
1,1,"teamtreat",1,"1_teamtreat_1","1_1","r6",100
1,1,"teamtreat",1,"1_teamtreat_1","1_1","r7",100
1,1,"teamtreat",1,"1_teamtreat_1","1_1","r8",66
1,1,"teamtreat",1,"1_teamtreat_1","1_1","r9",0
1,2,"individual",NA,"1_individual_2","1_individual_2","r1",0
1,2,"individual",NA,"1_individual_2","1_individual_2","r2",0
1,2,"individual",NA,"1_individual_2","1_individual_2","r3",30
1,2,"individual",NA,"1_individual_2","1_individual_2","r4",40
1,2,"individual",NA,"1_individual_2","1_individual_2","r5",40
1,2,"individual",NA,"1_individual_2","1_individual_2","r6",0
1,2,"individual",NA,"1_individual_2","1_individual_2","r7",0
1,2,"individual",NA,"1_individual_2","1_individual_2","r8",0
1,2,"individual",NA,"1_individual_2","1_individual_2","r9",20
1,2,"message",2,"1_message_2","1_2","r1",25
1,2,"message",2,"1_message_2","1_2","r2",30
1,2,"message",2,"1_message_2","1_2","r3",25
1,2,"message",2,"1_message_2","1_2","r4",25
1,2,"message",2,"1_message_2","1_2","r5",25
1,2,"message",2,"1_message_2","1_2","r6",30
1,2,"message",2,"1_message_2","1_2","r7",25
1,2,"message",2,"1_message_2","1_2","r8",0
1,2,"message",2,"1_message_2","1_2","r9",0
1,2,"mixed",1,"1_mixed_2","1_1","r1",10
1,2,"mixed",1,"1_mixed_2","1_1","r2",15
1,2,"mixed",1,"1_mixed_2","1_1","r3",20
1,2,"mixed",1,"1_mixed_2","1_1","r4",10
1,2,"mixed",1,"1_mixed_2","1_1","r5",10
1,2,"mixed",1,"1_mixed_2","1_1","r6",10
1,2,"mixed",1,"1_mixed_2","1_1","r7",20
1,2,"mixed",1,"1_mixed_2","1_1","r8",25
1,2,"mixed",1,"1_mixed_2","1_1","r9",50
1,2,"paycomm",2,"1_paycomm_2","1_2","r1",50
1,2,"paycomm",2,"1_paycomm_2","1_2","r2",25
1,2,"paycomm",2,"1_paycomm_2","1_2","r3",25
1,2,"paycomm",2,"1_paycomm_2","1_2","r4",40
1,2,"paycomm",2,"1_paycomm_2","1_2","r5",40
1,2,"paycomm",2,"1_paycomm_2","1_2","r6",60
1,2,"paycomm",2,"1_paycomm_2","1_2","r7",33
1,2,"paycomm",2,"1_paycomm_2","1_2","r8",38
1,2,"paycomm",2,"1_paycomm_2","1_2","r9",50
1,2,"teamtreat",2,"1_teamtreat_2","1_2","r1",15
1,2,"teamtreat",2,"1_teamtreat_2","1_2","r2",1
1,2,"teamtreat",2,"1_teamtreat_2","1_2","r3",10
1,2,"teamtreat",2,"1_teamtreat_2","1_2","r4",50
1,2,"teamtreat",2,"1_teamtreat_2","1_2","r5",15
1,2,"teamtreat",2,"1_teamtreat_2","1_2","r6",15
1,2,"teamtreat",2,"1_teamtreat_2","1_2","r7",100
1,2,"teamtreat",2,"1_teamtreat_2","1_2","r8",15
1,2,"teamtreat",2,"1_teamtreat_2","1_2","r9",1
1,3,"individual",NA,"1_individual_3","1_individual_3","r1",30
1,3,"individual",NA,"1_individual_3","1_individual_3","r2",30
1,3,"individual",NA,"1_individual_3","1_individual_3","r3",0
1,3,"individual",NA,"1_individual_3","1_individual_3","r4",0
1,3,"individual",NA,"1_individual_3","1_individual_3","r5",0
1,3,"individual",NA,"1_individual_3","1_individual_3","r6",60
1,3,"individual",NA,"1_individual_3","1_individual_3","r7",60
1,3,"individual",NA,"1_individual_3","1_individual_3","r8",10
1,3,"individual",NA,"1_individual_3","1_individual_3","r9",0
1,3,"message",3,"1_message_3","1_3","r1",50
1,3,"message",3,"1_message_3","1_3","r2",20
1,3,"message",3,"1_message_3","1_3","r3",0
1,3,"message",3,"1_message_3","1_3","r4",100
1,3,"message",3,"1_message_3","1_3","r5",100
1,3,"message",3,"1_message_3","1_3","r6",100
1,3,"message",3,"1_message_3","1_3","r7",100
1,3,"message",3,"1_message_3","1_3","r8",100
1,3,"message",3,"1_message_3","1_3","r9",100
1,3,"mixed",1,"1_mixed_3","1_1","r1",10
1,3,"mixed",1,"1_mixed_3","1_1","r2",15
1,3,"mixed",1,"1_mixed_3","1_1","r3",15
1,3,"mixed",1,"1_mixed_3","1_1","r4",10
1,3,"mixed",1,"1_mixed_3","1_1","r5",10
1,3,"mixed",1,"1_mixed_3","1_1","r6",10
1,3,"mixed",1,"1_mixed_3","1_1","r7",15
1,3,"mixed",1,"1_mixed_3","1_1","r8",10
1,3,"mixed",1,"1_mixed_3","1_1","r9",15
1,3,"paycomm",3,"1_paycomm_3","1_3","r1",40
1,3,"paycomm",3,"1_paycomm_3","1_3","r2",50
1,3,"paycomm",3,"1_paycomm_3","1_3","r3",70
1,3,"paycomm",3,"1_paycomm_3","1_3","r4",50
1,3,"paycomm",3,"1_paycomm_3","1_3","r5",60
1,3,"paycomm",3,"1_paycomm_3","1_3","r6",50
1,3,"paycomm",3,"1_paycomm_3","1_3","r7",70
1,3,"paycomm",3,"1_paycomm_3","1_3","r8",80
1,3,"paycomm",3,"1_paycomm_3","1_3","r9",70
1,3,"teamtreat",3,"1_teamtreat_3","1_3","r1",75
1,3,"teamtreat",3,"1_teamtreat_3","1_3","r2",70
1,3,"teamtreat",3,"1_teamtreat_3","1_3","r3",80
1,3,"teamtreat",3,"1_teamtreat_3","1_3","r4",70
1,3,"teamtreat",3,"1_teamtreat_3","1_3","r5",20
1,3,"teamtreat",3,"1_teamtreat_3","1_3","r6",20
1,3,"teamtreat",3,"1_teamtreat_3","1_3","r7",35
1,3,"teamtreat",3,"1_teamtreat_3","1_3","r8",70
1,3,"teamtreat",3,"1_teamtreat_3","1_3","r9",85
1,4,"individual",NA,"1_individual_4","1_individual_4","r1",20
1,4,"individual",NA,"1_individual_4","1_individual_4","r2",0
1,4,"individual",NA,"1_individual_4","1_individual_4","r3",100
1,4,"individual",NA,"1_individual_4","1_individual_4","r4",0
1,4,"individual",NA,"1_individual_4","1_individual_4","r5",0
1,4,"individual",NA,"1_individual_4","1_individual_4","r6",30
1,4,"individual",NA,"1_individual_4","1_individual_4","r7",75
1,4,"individual",NA,"1_individual_4","1_individual_4","r8",100
1,4,"individual",NA,"1_individual_4","1_individual_4","r9",100
1,4,"message",4,"1_message_4","1_4","r1",20
1,4,"message",4,"1_message_4","1_4","r2",50
1,4,"message",4,"1_message_4","1_4","r3",100
1,4,"message",4,"1_message_4","1_4","r4",100
1,4,"message",4,"1_message_4","1_4","r5",50
1,4,"message",4,"1_message_4","1_4","r6",100
1,4,"message",4,"1_message_4","1_4","r7",100
1,4,"message",4,"1_message_4","1_4","r8",0
1,4,"message",4,"1_message_4","1_4","r9",0
1,4,"mixed",2,"1_mixed_4","1_2","r1",40
1,4,"mixed",2,"1_mixed_4","1_2","r2",40
1,4,"mixed",2,"1_mixed_4","1_2","r3",50
1,4,"mixed",2,"1_mixed_4","1_2","r4",55
1,4,"mixed",2,"1_mixed_4","1_2","r5",40
1,4,"mixed",2,"1_mixed_4","1_2","r6",30
1,4,"mixed",2,"1_mixed_4","1_2","r7",50
1,4,"mixed",2,"1_mixed_4","1_2","r8",50
1,4,"mixed",2,"1_mixed_4","1_2","r9",80
1,4,"paycomm",4,"1_paycomm_4","1_4","r1",30
1,4,"paycomm",4,"1_paycomm_4","1_4","r2",40
1,4,"paycomm",4,"1_paycomm_4","1_4","r3",60
1,4,"paycomm",4,"1_paycomm_4","1_4","r4",40
1,4,"paycomm",4,"1_paycomm_4","1_4","r5",70
1,4,"paycomm",4,"1_paycomm_4","1_4","r6",40
1,4,"paycomm",4,"1_paycomm_4","1_4","r7",100
1,4,"paycomm",4,"1_paycomm_4","1_4","r8",30
1,4,"paycomm",4,"1_paycomm_4","1_4","r9",0
1,4,"teamtreat",4,"1_teamtreat_4","1_4","r1",100
1,4,"teamtreat",4,"1_teamtreat_4","1_4","r2",100
1,4,"teamtreat",4,"1_teamtreat_4","1_4","r3",50
1,4,"teamtreat",4,"1_teamtreat_4","1_4","r4",50
1,4,"teamtreat",4,"1_teamtreat_4","1_4","r5",50
1,4,"teamtreat",4,"1_teamtreat_4","1_4","r6",100
1,4,"teamtreat",4,"1_teamtreat_4","1_4","r7",50
1,4,"teamtreat",4,"1_teamtreat_4","1_4","r8",50
1,4,"teamtreat",4,"1_teamtreat_4","1_4","r9",0
1,5,"individual",NA,"1_individual_5","1_individual_5","r1",100
1,5,"individual",NA,"1_individual_5","1_individual_5","r2",100
1,5,"individual",NA,"1_individual_5","1_individual_5","r3",100
1,5,"individual",NA,"1_individual_5","1_individual_5","r4",100
1,5,"individual",NA,"1_individual_5","1_individual_5","r5",100
1,5,"individual",NA,"1_individual_5","1_individual_5","r6",100
1,5,"individual",NA,"1_individual_5","1_individual_5","r7",100
1,5,"individual",NA,"1_individual_5","1_individual_5","r8",100
1,5,"individual",NA,"1_individual_5","1_individual_5","r9",100
1,5,"message",5,"1_message_5","1_5","r1",100
1,5,"message",5,"1_message_5","1_5","r2",100
1,5,"message",5,"1_message_5","1_5","r3",100
1,5,"message",5,"1_message_5","1_5","r4",75
1,5,"message",5,"1_message_5","1_5","r5",50
1,5,"message",5,"1_message_5","1_5","r6",100
1,5,"message",5,"1_message_5","1_5","r7",100
1,5,"message",5,"1_message_5","1_5","r8",100
1,5,"message",5,"1_message_5","1_5","r9",0
1,5,"mixed",2,"1_mixed_5","1_2","r1",50
1,5,"mixed",2,"1_mixed_5","1_2","r2",100
1,5,"mixed",2,"1_mixed_5","1_2","r3",80
1,5,"mixed",2,"1_mixed_5","1_2","r4",55
1,5,"mixed",2,"1_mixed_5","1_2","r5",40
1,5,"mixed",2,"1_mixed_5","1_2","r6",30
1,5,"mixed",2,"1_mixed_5","1_2","r7",60
1,5,"mixed",2,"1_mixed_5","1_2","r8",40
1,5,"mixed",2,"1_mixed_5","1_2","r9",90
1,5,"paycomm",5,"1_paycomm_5","1_5","r1",0
1,5,"paycomm",5,"1_paycomm_5","1_5","r2",0
1,5,"paycomm",5,"1_paycomm_5","1_5","r3",0
1,5,"paycomm",5,"1_paycomm_5","1_5","r4",50
1,5,"paycomm",5,"1_paycomm_5","1_5","r5",50
1,5,"paycomm",5,"1_paycomm_5","1_5","r6",75
1,5,"paycomm",5,"1_paycomm_5","1_5","r7",0
1,5,"paycomm",5,"1_paycomm_5","1_5","r8",0
1,5,"paycomm",5,"1_paycomm_5","1_5","r9",100
1,5,"teamtreat",5,"1_teamtreat_5","1_5","r1",50
1,5,"teamtreat",5,"1_teamtreat_5","1_5","r2",50
1,5,"teamtreat",5,"1_teamtreat_5","1_5","r3",50
1,5,"teamtreat",5,"1_teamtreat_5","1_5","r4",75
1,5,"teamtreat",5,"1_teamtreat_5","1_5","r5",90
1,5,"teamtreat",5,"1_teamtreat_5","1_5","r6",25
1,5,"teamtreat",5,"1_teamtreat_5","1_5","r7",49
1,5,"teamtreat",5,"1_teamtreat_5","1_5","r8",50
1,5,"teamtreat",5,"1_teamtreat_5","1_5","r9",38
1,6,"individual",NA,"1_individual_6","1_individual_6","r1",100
1,6,"individual",NA,"1_individual_6","1_individual_6","r2",100
1,6,"individual",NA,"1_individual_6","1_individual_6","r3",100
1,6,"individual",NA,"1_individual_6","1_individual_6","r4",100
1,6,"individual",NA,"1_individual_6","1_individual_6","r5",100
1,6,"individual",NA,"1_individual_6","1_individual_6","r6",100
1,6,"individual",NA,"1_individual_6","1_individual_6","r7",100
1,6,"individual",NA,"1_individual_6","1_individual_6","r8",0
1,6,"individual",NA,"1_individual_6","1_individual_6","r9",0
1,6,"message",6,"1_message_6","1_6","r1",50
1,6,"message",6,"1_message_6","1_6","r2",25
1,6,"message",6,"1_message_6","1_6","r3",100
1,6,"message",6,"1_message_6","1_6","r4",30
1,6,"message",6,"1_message_6","1_6","r5",30
1,6,"message",6,"1_message_6","1_6","r6",0
1,6,"message",6,"1_message_6","1_6","r7",100
1,6,"message",6,"1_message_6","1_6","r8",100
1,6,"message",6,"1_message_6","1_6","r9",100
1,6,"mixed",2,"1_mixed_6","1_2","r1",30
1,6,"mixed",2,"1_mixed_6","1_2","r2",10
1,6,"mixed",2,"1_mixed_6","1_2","r3",10
1,6,"mixed",2,"1_mixed_6","1_2","r4",55
1,6,"mixed",2,"1_mixed_6","1_2","r5",40
1,6,"mixed",2,"1_mixed_6","1_2","r6",30
1,6,"mixed",2,"1_mixed_6","1_2","r7",10
1,6,"mixed",2,"1_mixed_6","1_2","r8",10
1,6,"mixed",2,"1_mixed_6","1_2","r9",20
1,6,"paycomm",6,"1_paycomm_6","1_6","r1",50
1,6,"paycomm",6,"1_paycomm_6","1_6","r2",50
1,6,"paycomm",6,"1_paycomm_6","1_6","r3",50
1,6,"paycomm",6,"1_paycomm_6","1_6","r4",50
1,6,"paycomm",6,"1_paycomm_6","1_6","r5",20
1,6,"paycomm",6,"1_paycomm_6","1_6","r6",50
1,6,"paycomm",6,"1_paycomm_6","1_6","r7",50
1,6,"paycomm",6,"1_paycomm_6","1_6","r8",100
1,6,"paycomm",6,"1_paycomm_6","1_6","r9",100
1,6,"teamtreat",6,"1_teamtreat_6","1_6","r1",30
1,6,"teamtreat",6,"1_teamtreat_6","1_6","r2",10
1,6,"teamtreat",6,"1_teamtreat_6","1_6","r3",10
1,6,"teamtreat",6,"1_teamtreat_6","1_6","r4",10
1,6,"teamtreat",6,"1_teamtreat_6","1_6","r5",30
1,6,"teamtreat",6,"1_teamtreat_6","1_6","r6",30
1,6,"teamtreat",6,"1_teamtreat_6","1_6","r7",50
1,6,"teamtreat",6,"1_teamtreat_6","1_6","r8",50
1,6,"teamtreat",6,"1_teamtreat_6","1_6","r9",50
1,7,"individual",NA,"1_individual_7","1_individual_7","r1",50
1,7,"individual",NA,"1_individual_7","1_individual_7","r2",20
1,7,"individual",NA,"1_individual_7","1_individual_7","r3",35
1,7,"individual",NA,"1_individual_7","1_individual_7","r4",5
1,7,"individual",NA,"1_individual_7","1_individual_7","r5",0
1,7,"individual",NA,"1_individual_7","1_individual_7","r6",50
1,7,"individual",NA,"1_individual_7","1_individual_7","r7",0
1,7,"individual",NA,"1_individual_7","1_individual_7","r8",25
1,7,"individual",NA,"1_individual_7","1_individual_7","r9",0
1,7,"message",1,"1_message_7","1_1","r1",100
1,7,"message",1,"1_message_7","1_1","r2",100
1,7,"message",1,"1_message_7","1_1","r3",100
1,7,"message",1,"1_message_7","1_1","r4",100
1,7,"message",1,"1_message_7","1_1","r5",100
1,7,"message",1,"1_message_7","1_1","r6",100
1,7,"message",1,"1_message_7","1_1","r7",100
1,7,"message",1,"1_message_7","1_1","r8",0
1,7,"message",1,"1_message_7","1_1","r9",0
1,7,"mixed",3,"1_mixed_7","1_3","r1",50
1,7,"mixed",3,"1_mixed_7","1_3","r2",50
1,7,"mixed",3,"1_mixed_7","1_3","r3",50
1,7,"mixed",3,"1_mixed_7","1_3","r4",35
1,7,"mixed",3,"1_mixed_7","1_3","r5",40
1,7,"mixed",3,"1_mixed_7","1_3","r6",40
1,7,"mixed",3,"1_mixed_7","1_3","r7",50
1,7,"mixed",3,"1_mixed_7","1_3","r8",50
1,7,"mixed",3,"1_mixed_7","1_3","r9",50
1,7,"paycomm",7,"1_paycomm_7","1_7","r1",80
1,7,"paycomm",7,"1_paycomm_7","1_7","r2",60
1,7,"paycomm",7,"1_paycomm_7","1_7","r3",90
1,7,"paycomm",7,"1_paycomm_7","1_7","r4",50
1,7,"paycomm",7,"1_paycomm_7","1_7","r5",0
1,7,"paycomm",7,"1_paycomm_7","1_7","r6",50
1,7,"paycomm",7,"1_paycomm_7","1_7","r7",0
1,7,"paycomm",7,"1_paycomm_7","1_7","r8",0
1,7,"paycomm",7,"1_paycomm_7","1_7","r9",100
1,7,"teamtreat",7,"1_teamtreat_7","1_7","r1",25
1,7,"teamtreat",7,"1_teamtreat_7","1_7","r2",20
1,7,"teamtreat",7,"1_teamtreat_7","1_7","r3",25
1,7,"teamtreat",7,"1_teamtreat_7","1_7","r4",30
1,7,"teamtreat",7,"1_teamtreat_7","1_7","r5",25
1,7,"teamtreat",7,"1_teamtreat_7","1_7","r6",30
1,7,"teamtreat",7,"1_teamtreat_7","1_7","r7",30
1,7,"teamtreat",7,"1_teamtreat_7","1_7","r8",25
1,7,"teamtreat",7,"1_teamtreat_7","1_7","r9",0
1,8,"individual",NA,"1_individual_8","1_individual_8","r1",20
1,8,"individual",NA,"1_individual_8","1_individual_8","r2",50
1,8,"individual",NA,"1_individual_8","1_individual_8","r3",50
1,8,"individual",NA,"1_individual_8","1_individual_8","r4",50
1,8,"individual",NA,"1_individual_8","1_individual_8","r5",50
1,8,"individual",NA,"1_individual_8","1_individual_8","r6",50
1,8,"individual",NA,"1_individual_8","1_individual_8","r7",0
1,8,"individual",NA,"1_individual_8","1_individual_8","r8",0
1,8,"individual",NA,"1_individual_8","1_individual_8","r9",0
1,8,"message",2,"1_message_8","1_2","r1",25
1,8,"message",2,"1_message_8","1_2","r2",30
1,8,"message",2,"1_message_8","1_2","r3",25
1,8,"message",2,"1_message_8","1_2","r4",25
1,8,"message",2,"1_message_8","1_2","r5",25
1,8,"message",2,"1_message_8","1_2","r6",30
1,8,"message",2,"1_message_8","1_2","r7",25
1,8,"message",2,"1_message_8","1_2","r8",0
1,8,"message",2,"1_message_8","1_2","r9",0
1,8,"mixed",3,"1_mixed_8","1_3","r1",20
1,8,"mixed",3,"1_mixed_8","1_3","r2",23
1,8,"mixed",3,"1_mixed_8","1_3","r3",30
1,8,"mixed",3,"1_mixed_8","1_3","r4",35
1,8,"mixed",3,"1_mixed_8","1_3","r5",40
1,8,"mixed",3,"1_mixed_8","1_3","r6",40
1,8,"mixed",3,"1_mixed_8","1_3","r7",30
1,8,"mixed",3,"1_mixed_8","1_3","r8",30
1,8,"mixed",3,"1_mixed_8","1_3","r9",30
1,8,"paycomm",8,"1_paycomm_8","1_8","r1",40
1,8,"paycomm",8,"1_paycomm_8","1_8","r2",60
1,8,"paycomm",8,"1_paycomm_8","1_8","r3",10
1,8,"paycomm",8,"1_paycomm_8","1_8","r4",50
1,8,"paycomm",8,"1_paycomm_8","1_8","r5",50
1,8,"paycomm",8,"1_paycomm_8","1_8","r6",10
1,8,"paycomm",8,"1_paycomm_8","1_8","r7",100
1,8,"paycomm",8,"1_paycomm_8","1_8","r8",100
1,8,"paycomm",8,"1_paycomm_8","1_8","r9",100
1,8,"teamtreat",8,"1_teamtreat_8","1_8","r1",50
1,8,"teamtreat",8,"1_teamtreat_8","1_8","r2",55
1,8,"teamtreat",8,"1_teamtreat_8","1_8","r3",45
1,8,"teamtreat",8,"1_teamtreat_8","1_8","r4",60
1,8,"teamtreat",8,"1_teamtreat_8","1_8","r5",40
1,8,"teamtreat",8,"1_teamtreat_8","1_8","r6",80
1,8,"teamtreat",8,"1_teamtreat_8","1_8","r7",20
1,8,"teamtreat",8,"1_teamtreat_8","1_8","r8",90
1,8,"teamtreat",8,"1_teamtreat_8","1_8","r9",10
1,9,"individual",NA,"1_individual_9","1_individual_9","r1",20
1,9,"individual",NA,"1_individual_9","1_individual_9","r2",30
1,9,"individual",NA,"1_individual_9","1_individual_9","r3",10
1,9,"individual",NA,"1_individual_9","1_individual_9","r4",50
1,9,"individual",NA,"1_individual_9","1_individual_9","r5",0
1,9,"individual",NA,"1_individual_9","1_individual_9","r6",20
1,9,"individual",NA,"1_individual_9","1_individual_9","r7",80
1,9,"individual",NA,"1_individual_9","1_individual_9","r8",0
1,9,"individual",NA,"1_individual_9","1_individual_9","r9",20
1,9,"message",3,"1_message_9","1_3","r1",50
1,9,"message",3,"1_message_9","1_3","r2",20
1,9,"message",3,"1_message_9","1_3","r3",0
1,9,"message",3,"1_message_9","1_3","r4",100
1,9,"message",3,"1_message_9","1_3","r5",100
1,9,"message",3,"1_message_9","1_3","r6",100
1,9,"message",3,"1_message_9","1_3","r7",100
1,9,"message",3,"1_message_9","1_3","r8",100
1,9,"message",3,"1_message_9","1_3","r9",100
1,9,"mixed",3,"1_mixed_9","1_3","r1",5
1,9,"mixed",3,"1_mixed_9","1_3","r2",3
1,9,"mixed",3,"1_mixed_9","1_3","r3",3
1,9,"mixed",3,"1_mixed_9","1_3","r4",35
1,9,"mixed",3,"1_mixed_9","1_3","r5",40
1,9,"mixed",3,"1_mixed_9","1_3","r6",40
1,9,"mixed",3,"1_mixed_9","1_3","r7",60
1,9,"mixed",3,"1_mixed_9","1_3","r8",100
1,9,"mixed",3,"1_mixed_9","1_3","r9",0
1,9,"paycomm",9,"1_paycomm_9","1_9","r1",0
1,9,"paycomm",9,"1_paycomm_9","1_9","r2",0
1,9,"paycomm",9,"1_paycomm_9","1_9","r3",0
1,9,"paycomm",9,"1_paycomm_9","1_9","r4",80
1,9,"paycomm",9,"1_paycomm_9","1_9","r5",0
1,9,"paycomm",9,"1_paycomm_9","1_9","r6",0
1,9,"paycomm",9,"1_paycomm_9","1_9","r7",25
1,9,"paycomm",9,"1_paycomm_9","1_9","r8",50
1,9,"paycomm",9,"1_paycomm_9","1_9","r9",50
1,10,"individual",NA,"1_individual_10","1_individual_10","r1",20
1,10,"individual",NA,"1_individual_10","1_individual_10","r2",0
1,10,"individual",NA,"1_individual_10","1_individual_10","r3",0
1,10,"individual",NA,"1_individual_10","1_individual_10","r4",0
1,10,"individual",NA,"1_individual_10","1_individual_10","r5",0
1,10,"individual",NA,"1_individual_10","1_individual_10","r6",20
1,10,"individual",NA,"1_individual_10","1_individual_10","r7",0
1,10,"individual",NA,"1_individual_10","1_individual_10","r8",50
1,10,"individual",NA,"1_individual_10","1_individual_10","r9",50
1,10,"message",4,"1_message_10","1_4","r1",20
1,10,"message",4,"1_message_10","1_4","r2",50
1,10,"message",4,"1_message_10","1_4","r3",100
1,10,"message",4,"1_message_10","1_4","r4",100
1,10,"message",4,"1_message_10","1_4","r5",50
1,10,"message",4,"1_message_10","1_4","r6",100
1,10,"message",4,"1_message_10","1_4","r7",100
1,10,"message",4,"1_message_10","1_4","r8",0
1,10,"message",4,"1_message_10","1_4","r9",0
1,10,"mixed",4,"1_mixed_10","1_4","r1",50
1,10,"mixed",4,"1_mixed_10","1_4","r2",40
1,10,"mixed",4,"1_mixed_10","1_4","r3",30
1,10,"mixed",4,"1_mixed_10","1_4","r4",0
1,10,"mixed",4,"1_mixed_10","1_4","r5",30
1,10,"mixed",4,"1_mixed_10","1_4","r6",25
1,10,"mixed",4,"1_mixed_10","1_4","r7",50
1,10,"mixed",4,"1_mixed_10","1_4","r8",50
1,10,"mixed",4,"1_mixed_10","1_4","r9",40
1,10,"paycomm",1,"1_paycomm_10","1_1","r1",50
1,10,"paycomm",1,"1_paycomm_10","1_1","r2",65
1,10,"paycomm",1,"1_paycomm_10","1_1","r3",45
1,10,"paycomm",1,"1_paycomm_10","1_1","r4",50
1,10,"paycomm",1,"1_paycomm_10","1_1","r5",50
1,10,"paycomm",1,"1_paycomm_10","1_1","r6",100
1,10,"paycomm",1,"1_paycomm_10","1_1","r7",50
1,10,"paycomm",1,"1_paycomm_10","1_1","r8",75
1,10,"paycomm",1,"1_paycomm_10","1_1","r9",75
1,11,"individual",NA,"1_individual_11","1_individual_11","r1",50
1,11,"individual",NA,"1_individual_11","1_individual_11","r2",0
1,11,"individual",NA,"1_individual_11","1_individual_11","r3",100
1,11,"individual",NA,"1_individual_11","1_individual_11","r4",100
1,11,"individual",NA,"1_individual_11","1_individual_11","r5",100
1,11,"individual",NA,"1_individual_11","1_individual_11","r6",100
1,11,"individual",NA,"1_individual_11","1_individual_11","r7",100
1,11,"individual",NA,"1_individual_11","1_individual_11","r8",100
1,11,"individual",NA,"1_individual_11","1_individual_11","r9",0
1,11,"message",5,"1_message_11","1_5","r1",100
1,11,"message",5,"1_message_11","1_5","r2",100
1,11,"message",5,"1_message_11","1_5","r3",100
1,11,"message",5,"1_message_11","1_5","r4",75
1,11,"message",5,"1_message_11","1_5","r5",50
1,11,"message",5,"1_message_11","1_5","r6",100
1,11,"message",5,"1_message_11","1_5","r7",100
1,11,"message",5,"1_message_11","1_5","r8",100
1,11,"message",5,"1_message_11","1_5","r9",0
1,11,"mixed",4,"1_mixed_11","1_4","r1",1
1,11,"mixed",4,"1_mixed_11","1_4","r2",0
1,11,"mixed",4,"1_mixed_11","1_4","r3",0
1,11,"mixed",4,"1_mixed_11","1_4","r4",0
1,11,"mixed",4,"1_mixed_11","1_4","r5",30
1,11,"mixed",4,"1_mixed_11","1_4","r6",25
1,11,"mixed",4,"1_mixed_11","1_4","r7",0
1,11,"mixed",4,"1_mixed_11","1_4","r8",0
1,11,"mixed",4,"1_mixed_11","1_4","r9",60
1,11,"paycomm",2,"1_paycomm_11","1_2","r1",50
1,11,"paycomm",2,"1_paycomm_11","1_2","r2",25
1,11,"paycomm",2,"1_paycomm_11","1_2","r3",25
1,11,"paycomm",2,"1_paycomm_11","1_2","r4",40
1,11,"paycomm",2,"1_paycomm_11","1_2","r5",40
1,11,"paycomm",2,"1_paycomm_11","1_2","r6",60
1,11,"paycomm",2,"1_paycomm_11","1_2","r7",33
1,11,"paycomm",2,"1_paycomm_11","1_2","r8",38
1,11,"paycomm",2,"1_paycomm_11","1_2","r9",50
1,12,"individual",NA,"1_individual_12","1_individual_12","r1",66
1,12,"individual",NA,"1_individual_12","1_individual_12","r2",1
